Sample,Date_Collection,Year,Collection,Boat,SPN,Observer,Cruise #,Haul,Latitude decimal degrees,Longitude decimal degrees,Depth (meter),Bottom Temp (C),CL_mm,Shell_Cond,Egg_Color,Egg_Cond,Clutch Full (ADFG) (0-no eggs; 1-trace to 1/8 full; 2-1/4 full; 3-1/2 full; 4-3/4 full; 5-100 full),Clutch_Size,Date_Sampled,Year,mL_eggs,Clutch Wet Weight,indv_egg wt_g,Fecundity,Egg Viability 1 (% viable),Egg Viability 2 (% viable),Relative_Fecundity,Comments
362,6/8/2008,2008,Summer 08,Arcturus,,,,26,57,-162.78,58,0.7,98,2,3,1,0,5,7/10/2008,2008,96,90.06,0.0002108,87447.34345,0,0,892.3198311,
363,6/7/2008,2008,Summer 08,Arcturus,,,,18,57.66,-161.5,51,1.2,97,2,3,1,0,5,7/10/2008,2008,66,56.89,0.0001996,53804.60922,0,0,554.686693,
364,6/7/2008,2008,Summer 08,Arcturus,,,,16,56.99,-161.57,67,0.8,102,2,3,1,0,5,7/10/2008,2008,114,106.31,0.0002124,105523.5405,0,0,1034.544515,
365,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,104,2,3,1,0,5,7/12/2008,2008,140,124.30,0.0002024,120735.6719,0,0,1160.919922,
366,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,103,2,3,1,0,5,7/12/2008,2008,126,105.55,0.0002082,106420.269,0,0,1033.206495,
367,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,108,2,2,1,0,5,7/12/2008,2008,142,122.05,0.0002256,107591.3121,0,0,996.2158528,
368,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,109,2,3,1,0,5,7/12/2008,2008,140,116.21,0.0001932,123750,0,0,1135.321101,
369,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,102,2,3,1,0,5,7/12/2008,2008,124,108.84,0.000215,99383.25581,0,0,974.3456452,
370,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,109,2,2,1,0,5,7/12/2008,2008,137,123.04,0.000197,128012.6904,0,0,1174.428352,
371,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,96,2,2,1,0,4,7/12/2008,2008,86,70.56,0.0002068,74934.23598,0,0,780.5649581,
372,6/6/2008,2008,Summer 08,Arcturus,,,,11,56.67,-160.98,66,1.2,98,2,3,1,0,5,7/12/2008,2008,80,65.07,0.0002066,67067.76379,0,0,684.3649366,
373,6/7/2008,2008,Summer 08,Arcturus,,,,16,56.99,-161.57,67,0.8,118,2,3,1,0,5,7/12/2008,2008,161,147.93,0.0001978,150911.5268,0,0,1278.911244,
374,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,127,2,3,1,0,5,7/29/2008,2008,202,173.13,0.0001998,255126.6266,100,0,2008.871076,fresh sample
375,7/21/2008,2008,Summer 08,Arcturus,,,,195,57.68,-160.28,53,4.2,129,2,5,1,0,5,7/29/2008,2008,210,198.04,0.0002206,264698.5494,100,0,2051.92674,fresh sample
376,7/21/2008,2008,Summer 08,Arcturus,,,,194,58,-160.25,49,4.2,150,2,2,1,0,5,7/29/2008,2008,235,202.61,0.0002316,274003.4542,100,0,1826.689695,fresh sample
377,7/21/2008,2008,Summer 08,Arcturus,,,,195,57.68,-160.28,53,4.2,144,2,5,1,0,5,7/30/2008,2008,225,220.56,0.0002184,324600.7326,100,0,2254.171754,fresh sample
378,7/23/2008,2008,Summer 08,Arcturus,,,,204,57.69,-161.49,51,3.6,94,2,3,1,0,5,7/30/2008,2008,64,56.38,0.000188,60243.08511,100,0,640.8838841,fresh sample
379,7/23/2008,2008,Summer 08,Arcturus,,,,204,57.69,-161.49,51,3.6,89,2,3,1,0,2,7/30/2008,2008,10,8.12,0.0002574,8144.522145,88,0,91.51148478,fresh sample
380,7/21/2008,2008,Summer 08,Arcturus,,,,199,56.31,-161.01,50,6.8,147,2,2,1,0,5,7/30/2008,2008,275,249.62,0.0002176,339270.2206,100,0,2307.960684,fresh sample
381,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,137,2,2,1,0,5,7/30/2008,2008,196,201.16,0.0002158,285079.7034,100,0,2080.873747,fresh sample
382,7/21/2008,2008,Summer 08,Arcturus,,,,195,57.68,-160.28,53,4.2,129,2,3,1,0,5,7/30/2008,2008,157,161.67,0.000205,245931.2195,100,0,1906.443562,fresh sample
383,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,135,2,2,1,0,5,7/31/2008,2008,225,194.37,0.0002116,277061.4367,96,0,2052.306939,fresh sample
384,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,133,2,2,1,0,5,7/31/2008,2008,178,162.83,0.000203,248020.6897,91,0,1864.817216,fresh sample
385,7/23/2008,2008,Summer 08,Arcturus,,,,206,57.33,-162.14,49,4.1,94,2,5,1,0,4,8/2/2008,2008,67,52.08,0.000192,74039.0625,100,0,787.6496011,fresh sample
386,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,130,2,3,1,0,5,8/4/2008,2008,175,150.46,0.0002142,212415.4995,0,0,1633.965381,fresh sample
387,7/21/2008,2008,Summer 08,Arcturus,,,,199,56.31,-161.01,50,6.8,131,2,3,1,0,5,8/5/2008,2008,195,165.20,0.0002124,233499.0584,0,0,1782.43556,fresh sample
388,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,139,2,3,1,0,5,8/5/2008,2008,235,219.82,0.0002078,317970.6449,0,0,2287.558596,fresh sample
389,7/21/2008,2008,Summer 08,Arcturus,,,,192,58.01,-161.48,52,4.8,150,2,3,1,0,5,8/7/2008,2008,220,201.07,0.0002156,279880.7978,0,0,1865.871985,fresh sample
390,6/5/2008,2008,Summer 08,Arcturus,,,,9,57.34,-160.3,58,0.8,95,2,2,1,0,5,8/9/2008,2008,64,57.11,0.0002082,80743.03554,0,0,849.9266899,fresh sample
391,7/20/2008,2008,Summer 08,Arcturus,,,,192,58.01,-161.48,52,4.8,134,2,3,1,0,5,8/25/2008,2008,315,263.91,0.000213,278184.507,0,0,2076.003784,
392,7/20/2008,2008,Summer 08,Arcturus,,,,192,58.01,-161.48,52,4.8,97,2,2,1,0,5,8/25/2008,2008,88,76.77,0.000257,72682.49027,0,0,749.3040234,
393,7/20/2008,2008,Summer 08,Arcturus,,,,191,58.01,-162.15,36,5.7,137,2,2,1,0,6,8/26/2008,2008,265,210.56,0.0002102,224061.6556,0,0,1635.486537,
394,7/20/2008,2008,Summer 08,Arcturus,,,,191,58.01,-162.15,36,5.7,140,2,3,1,0,5,8/26/2008,2008,280,228.26,0.0001918,263932.7424,0,0,1885.233874,
395,7/20/2008,2008,Summer 08,Arcturus,,,,191,58.01,-162.15,36,5.7,96,2,3,1,0,6,8/26/2008,2008,114,88.03,0.000211,96831.75355,0,0,1008.664099,
396,7/20/2008,2008,Summer 08,Arcturus,,,,190,57.65,-162.13,45,4,118,2,2,1,0,6,8/26/2008,2008,260,198.75,0.0002198,198530.9372,0,0,1682.465569,
397,7/20/2008,2008,Summer 08,Arcturus,,,,190,57.65,-162.13,45,4,135,2,1,1,0,1,8/27/2008,2008,255,186.21,0.0002082,203850.6244,0,0,1510.004625,
398,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,114,2,2,1,0,6,8/27/2008,2008,270,196.21,0.0002164,210827.634,0,0,1849.365211,
399,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,113,2,3,1,0,5,8/27/2008,2008,225,163.45,0.0002114,167661.3056,0,0,1483.728368,
400,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,118,2,2,1,0,4,8/27/2008,2008,225,,0.000218,171599.0826,0,0,1454.229514,
401,7/20/2008,2008,Summer 08,Arcturus,,,,190,57.65,-162.13,45,4,112,2,2,1,0,5,8/27/2008,2008,225,130.35,0.0002144,126234.6082,0,0,1127.094716,
402,7/20/2008,2008,Summer 08,Arcturus,,,,188,57.67,-163.35,45,4.2,133,3,2,1,0,5,8/28/2008,2008,360,270.88,0.0002044,285394.8141,0,0,2145.82567,
403,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,118,2,3,1,0,6,8/28/2008,2008,230,169.68,0.0002106,179888.4141,0,0,1524.478086,
404,7/20/2008,2008,Summer 08,Arcturus,,,,188,57.67,-163.35,45,4.2,105,2,2,1,0,5,8/28/2008,2008,182,126.35,0.000189,146456.6138,0,0,1394.824893,
405,7/20/2008,2008,Summer 08,Arcturus,,,,188,57.67,-163.35,45,4.2,100,3,5,1,0,5,8/28/2008,2008,170,130.91,0.000201,135214.9254,0,0,1352.149254,
406,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,111,2,3,1,0,6,8/28/2008,2008,154,120.93,0.0002206,115610.6074,0,0,1041.537004,
407,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,111,2,3,1,0,5,8/28/2008,2008,210,166.45,0.0002186,152340.8051,0,0,1372.439686,
408,7/20/2008,2008,Summer 08,Arcturus,,,,214,56.34,-161.62,62,5.2,145,2,2,1,0,6,8/29/2008,2008,405,303.68,0.0002204,306218.2396,0,0,2111.849928,
409,7/20/2008,2008,Summer 08,Arcturus,,,,214,56.34,-161.62,62,5.2,146,2,2,1,0,5,8/29/2008,2008,350,272.17,0.0002182,287216.7736,0,0,1967.238175,
410,7/20/2008,2008,Summer 08,Arcturus,,,,214,56.34,-161.62,62,5.2,142,2,2,1,0,5,8/29/2008,2008,310,226.97,0.0002016,246302.0833,0,0,1734.521713,
411,7/20/2008,2008,Summer 08,Arcturus,,,,188,57.67,-163.35,45,4.2,108,3,3,1,0,5,8/29/2008,2008,206,145.23,0.0002154,144864.9025,0,0,1341.34169,
412,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,107,2,5,1,0,5,8/29/2008,2008,186,143.07,0.0002086,141247.3634,0,0,1320.068817,
413,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,118,2,2,1,0,4,8/29/2008,2008,222,175.06,0.000218,172386.6972,0,0,1460.904214,
414,7/20/2008,2008,Summer 08,Arcturus,,,,189,57.66,-162.77,43,4.5,97,2,3,1,0,6,8/29/2008,2008,110,81.56,0.0002228,79448.3842,0,0,819.0555072,
415,7/22/2008,2008,Summer 08,Arcturus,,,,212,56.94,-161.6,69,2.3,156,2,2,1,0,5,9/3/2008,2008,448,311.42,0.0002098,351535.2717,0,0,2253.431229,
416,7/23/2008,2008,Summer 08,Arcturus,,,,206,57.33,-162.14,49,4.1,148,2,1,1,0,5,9/3/2008,2008,350,267.42,0.0001812,323486.755,0,0,2185.721318,
417,7/24/2008,2008,Summer 08,Arcturus,,,,214,56.34,-161.62,62,5.2,145,2,5,1,0,5,9/3/2008,2008,325,242.17,0.000202,263157.9208,0,0,1814.882212,small patch dead eggs approx 200
418,7/21/2008,2008,Summer 08,Arcturus,,,,198,56.67,-160.36,56,4.2,140,2,2,1,0,6,9/3/2008,2008,300,230.83,0.0001986,251811.1782,0,0,1798.651273,
419,7/21/2008,2008,Summer 08,Arcturus,,,,198,56.67,-160.36,56,4.2,145,2,2,1,0,5,9/4/2008,2008,350,263.06,0.000207,267555.0725,0,0,1845.207397,
420,7/22/2008,2008,Summer 08,Arcturus,,,,201,56.99,-160.94,63,2.6,145,2,2,1,0,5,9/4/2008,2008,390,269.44,0.0002168,267606.0886,0,0,1845.559232,
421,7/23/2008,2008,Summer 08,Arcturus,,,,206,57.33,-162.14,49,4.1,147,2,2,1,0,5,9/4/2008,2008,355,285.42,0.0002162,299281.6836,0,0,2035.92982,
422,7/25/2008,2008,Summer 08,Arcturus,,,,216,56.33,-162.21,77,3.1,160,2,2,1,0,5,9/4/2008,2008,450,319.77,0.000197,374940.1015,0,0,2343.375634,
423,7/25/2008,2008,Summer 08,Arcturus,,,,215,56,-162.26,69,4.2,146,2,2,1,0,5,9/4/2008,2008,365,321.30,0.0002402,308491.6736,0,0,2112.956668,
424,7/25/2008,2008,Summer 08,Arcturus,,,,215,56,-162.26,69,4.2,145,2,3,1,0,6,9/4/2008,2008,350,272.57,0.0001994,317804.9147,0,0,2191.758032,
425,7/21/2008,2008,Summer 08,Arcturus,,,,197,57.01,-160.34,62,3.2,143,2,2,1,0,5,9/4/2008,2008,325,254.30,0.0001882,299373.0074,0,0,2093.517534,
426,7/25/2008,2008,Summer 08,Arcturus,,,,215,56,-162.26,69,4.2,150,2,2,1,0,5,9/4/2008,2008,390,313.24,0.0002246,328410.0623,0,0,2189.400415,
427,7/21/2008,2008,Summer 08,Arcturus,,,,197,57.01,-160.34,62,3.2,143,2,2,1,0,5,9/5/2008,2008,380,304.18,0.0002168,311019.8339,0,0,2174.963873,
428,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,150,2,2,1,0,5,9/5/2008,2008,360,286.03,0.0002124,321310.7345,0,0,2142.071563,
429,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,153,2,2,1,0,4,9/5/2008,2008,285,209.80,0.0002,231174.5,0,0,1510.944444,
430,7/21/2008,2008,Summer 08,Arcturus,,,,197,57.01,-160.34,62,3.2,141,2,2,1,0,4,9/5/2008,2008,270,209.27,0.0001926,242064.3821,0,0,1716.768667,
431,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,140,2,5,1,0,5,9/5/2008,2008,340,246.37,0.0002029,277021.4391,0,0,1978.724565,
432,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,99,2,5,1,0,5,9/8/2008,2008,82,73.39,0.0002276,72285.14938,0,0,730.153024,
433,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,99,2,5,1,0,5,9/8/2008,2008,74,64.03,0.000209,72790.90909,0,0,735.261708,
434,7/21/2008,2008,Summer 08,Arcturus,,,,196,57.34,-160.27,60,3.6,133,2,3,1,0,5,9/8/2008,2008,260,211.50,0.0002112,233355.1136,0,0,1754.549726,
435,7/21/2008,2008,Summer 08,Arcturus,,,,195,57.68,-160.28,53,4.2,139,2,3,1,0,5,9/8/2008,2008,260,212.88,0.0002088,236869.2529,0,0,1704.095345,
436,7/21/2008,2008,Summer 08,Arcturus,,,,195,57.68,-160.28,53,4.2,164,2,2,1,0,5,9/9/2008,2008,430,358.13,0.0002148,376384.5438,0,0,2295.027706,
437,7/21/2008,2008,Summer 08,Arcturus,,,,195,57.68,-160.28,53,4.2,142,2,2,1,0,5,9/9/2008,2008,315,255.09,0.0002116,269553.8752,0,0,1898.266727,
438,7/21/2008,2008,Summer 08,Arcturus,,,,195,57.68,-160.28,53,4.2,145,2,2,1,0,5,9/9/2008,2008,330,284.59,0.0002198,305969.0628,0,0,2110.131468,
439,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,97,2,3,1,0,6,9/9/2008,2008,112,87.86,0.0002418,75633.16791,0,0,779.7233805,
440,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,92,2,5,1,0,5,9/9/2008,2008,82,68.81,0.0002588,58579.21175,0,0,636.7305625,
441,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,98,2,2,1,0,5,9/9/2008,2008,104,84.54,0.0002356,73483.02207,0,0,749.8267558,
442,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,98,2,3,1,0,6,9/9/2008,2008,92,80.60,0.000235,76395.74468,0,0,779.5484151,
443,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,131,2,2,1,0,6,9/9/2008,2008,300,217.75,0.0002012,240562.6243,0,0,1836.355911,
444,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,132,2,2,1,0,5,9/10/2008,2008,340,240.39,0.0002122,262672.4788,0,0,1989.943021,
445,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,133,2,2,1,0,6,9/10/2008,2008,260,222.88,0.0002234,235052.3724,0,0,1767.311071,
446,7/21/2008,2008,Summer 08,Arcturus,,,,193,58,-160.88,44,4.1,138,2,2,1,0,5,9/10/2008,2008,230,191.79,0.0002098,209938.9895,0,0,1521.297025,
650,6/5/2009,2009,Summer 09,Aldebaran,,,0,18,57.99,-161.48,55,1.1,93,2,2,1,0,5,7/15/2009,2009,54,64.88,0.0001948,68348.04928,0,0,734.9252611,sediment
651,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,140,2,2,1,0,5,7/15/2009,2009,190,249.44,0.0001962,264907.7472,0,0,1892.198194,"pleopod appears to be rotting, dead eggs on it, dead eggs in sample"
652,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,116,2,5,1,0,5,7/15/2009,2009,155,181.69,0.0001964,202196.5377,0,0,1743.073601,sediment
653,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,141,1,2,1,0,5,7/16/2009,2009,185,278.56,0.0002222,271633.2133,0,0,1926.47669,
654,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,130,1,2,1,0,5,7/16/2009,2009,145,242.65,0.0001972,254101.4199,0,0,1954.626307,
655,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,142,1,5,1,0,6,7/16/2009,2009,170,337.78,0.0001974,352235.0557,0,0,2480.528561,fish scales and debris
656,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,140,1,2,1,0,6,7/16/2009,2009,162,295.57,0.000196,289816.8367,0,0,2070.120262,
657,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,142,1,5,1,0,5,7/16/2009,2009,140,231.88,0.0001714,284685.5309,0,0,2004.827682,
658,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,132,1,2,1,0,5,7/17/2009,2009,180,264.77,0.0001998,285002.002,0,0,2159.106076,
659,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,113,2,2,1,0,6,7/17/2009,2009,131,177.21,0.0001914,181776.907,0,0,1608.645195,"worm, sediment, fish scales"
660,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,117,2,2,1,0,5,7/17/2009,2009,174,215.29,0.0002094,193247.3734,0,0,1651.686952,lots of sediment
661,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,125,1,2,1,0,5,7/17/2009,2009,155,240.37,0.0001958,271115.4239,0,0,2168.923391,
662,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,136,2,3,1,0,6,7/20/2009,2009,150,236.71,0.0001964,277787.6782,0,0,2042.556457,fish scales
663,6/6/2009,2009,Summer 09,Arcturus,,,0,21,57.69,-162.13,48,1.9,97,2,5,1,0,5,7/20/2009,2009,36,67.85,0.0001982,64353.68315,0,0,663.4400325,some dead eggs
664,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,107,2,2,1,0,5,7/20/2009,2009,90,169.78,0.0002,185577,0,0,1734.364486,
665,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,118,2,2,1,0,5,7/20/2009,2009,130,241.70,0.00019,230782.1053,0,0,1955.780553,rotten pleopods
666,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,111,2,2,1,0,6,7/20/2009,2009,105,159.76,0.0001988,184627.7666,0,0,1663.313213,sediment
667,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,110,2,3,1,0,5,7/21/2009,2009,75,143.10,0.000191,149806.2827,0,0,1361.875297,
668,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,118,2,2,1,0,5,7/21/2009,2009,130,186.71,0.0001952,193043.0328,0,0,1635.957905,sediment
669,6/4/2009,2009,Summer 09,Arcturus,,,0,14,57.32,-160.9,64,1.3,106,2,5,1,0,4,7/21/2009,2009,55,96.55,0.0002052,70265.59454,0,0,662.8829674,"rotten pleopods, some bag eggs, very loose eggs"
670,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,115,2,2,1,0,6,7/21/2009,2009,145,245.21,0.0001786,283702.6876,0,0,2466.979892,"sediment, fish scales, debris"
671,6/4/2009,2009,Summer 09,Arcturus,,,0,12,56.66,-160.96,69,1.3,109,2,2,1,0,5,7/21/2009,2009,94,147.34,0.000193,151126.943,0,0,1386.485716,
672,6/7/2009,2009,Summer 09,Arcturus,,,0,29,56,-162.86,79,1.6,108,2,5,1,0,5,7/22/2009,2009,80,111.96,0.00022,110767.2727,0,0,1025.622895,sediment and fish scales
673,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,128,2,2,1,0,5,7/22/2009,2009,155,209.94,0.0001654,261542.9262,0,0,2043.304111,sediment
674,6/6/2009,2009,Summer 09,Arcturus,,,0,21,57.69,-162.13,48,1.9,103,2,5,1,0,5,7/22/2009,2009,66,98.96,0.0001914,97502.61233,0,0,946.6273042,debris
675,6/4/2009,2009,Summer 09,Arcturus,,,0,11,56.66,-160.35,60,2,99,2,2,1,0,5,7/22/2009,2009,56,90.32,0.000223,83298.65471,0,0,841.4005526,fish scales
676,6/4/2009,2009,Summer 09,Arcturus,,,0,12,56.66,-160.96,69,1.3,115,2,5,1,0,5,7/22/2009,2009,140,173.76,0.0001892,193394.2918,0,0,1681.689494,
677,6/6/2009,2009,Summer 09,Arcturus,,,0,21,57.69,-162.13,48,1.9,107,2,5,1,0,5,7/22/2009,2009,80,111.37,0.000203,103876.8473,0,0,970.811657,
678,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,120,2,5,1,0,6,7/23/2009,2009,130,188.00,0.0002,205420,0,0,1711.833333,
679,6/4/2009,2009,Summer 09,Arcturus,,,0,12,56.66,-160.96,69,1.3,101,2,5,1,0,3,7/23/2009,2009,28,44.54,0.0001794,43997.21293,0,0,435.6159696,rotten pleopods
680,6/7/2009,2009,Summer 09,Arcturus,,,0,27,56,-162.25,73,2,97,2,5,1,0,5,7/23/2009,2009,70,85.47,0.0002136,88695.69288,0,0,914.3885864,
681,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,145,2,2,1,0,5,7/23/2009,2009,212,280.41,0.000174,349248.2759,0,0,2408.608799,"fish scales, debris"
682,6/5/2009,2009,Summer 09,Aldebaran,,,0,18,57.99,-161.48,55,1.1,89,2,3,1,0,5,7/23/2009,2009,36,51.04,0.000194,52239.69072,0,0,586.9628171,"some bad eggs, sediment"
683,6/4/2009,2009,Summer 09,Arcturus,,,0,12,56.66,-160.96,69,1.3,103,2,2,1,0,5,7/23/2009,2009,75,121.23,0.000194,132834.5361,0,0,1289.65569,
684,6/6/2009,2009,Summer 09,Aldebaran,,,0,23,57.35,-162.77,49,1.5,95,2,3,1,0,5,7/23/2009,2009,68,92.26,0.0001964,89748.98167,0,0,944.7261228,sediment
685,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,112,2,3,1,0,5,7/24/2009,2009,95,143.70,0.0001932,150365.4244,0,0,1342.548432,
686,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,119,2,5,1,0,5,7/24/2009,2009,165,209.56,0.000195,226446.1538,0,0,1902.908855,
687,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,115,2,5,1,0,5,7/24/2009,2009,170,190.67,0.0001964,213390.5295,0,0,1855.569822,sediment
688,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,134,2,5,1,0,6,7/24/2009,2009,214,263.15,0.0001974,278866.2614,0,0,2081.091503,hepatopancreas on eggs
689,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,139,2,2,1,0,6,7/24/2009,2009,276,316.78,0.0001964,367334.5214,0,0,2642.694399,sediment
690,6/4/2009,2009,Summer 09,Aldebaran,,,0,10,57.01,-160.32,63,1,90,2,3,1,0,5,7/24/2009,2009,54,82.37,0.0001912,85829.49791,0,0,953.6610879,
691,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,144,2,5,1,0,6,7/24/2009,2009,230,317.33,0.0002008,349303.7849,0,0,2425.720728,sediment
692,6/7/2009,2009,Summer 09,Aldebaran,,,0,26,55.68,-162.81,51,2.4,130,2,2,1,0,5,7/27/2009,2009,160,235.50,0.000188,269874.4681,0,0,2075.957447,tag 1440 dead 6/19/09
693,6/5/2009,2009,Summer 09,Aldebaran,,,0,17,57.66,-161.49,54,1.5,102,2,3,1,0,5,7/27/2009,2009,34,94.61,0.0002004,94374.2515,0,0,925.2377598,
694,6/4/2009,2009,Summer 09,Aldebaran,,,0,12,56.34,-161.03,55,2.6,109,1,2,1,0,5,7/27/2009,2009,113,144.05,0.0001948,145950.7187,0,0,1338.997419,
695,6/1/2009,2009,Summer 09,Aldebaran,,,0,G15 test tow,56.1,-162.79,0,1,97,2,5,1,0,5,7/27/2009,2009,54,76.53,0.0002062,81238.6033,0,0,837.5113742,
696,6/4/2009,2009,Summer 09,Aldebaran,,,0,9,57.33,-160.32,62,1.3,102,2,3,1,0,5,7/27/2009,2009,46,89.95,0.0002064,86035.36822,0,0,843.4840022,
697,6/5/2009,2009,Summer 09,Aldebaran,,,0,17,57.66,-161.49,54,1.5,96,2,3,1,0,5,7/27/2009,2009,62,79.60,0.0001906,81477.43966,0,0,848.7233298,
698,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,149,1,5,1,0,5,7/28/2009,2009,195,262.28,0.0001856,305012.3922,0,0,2047.063035,sediment
699,6/5/2009,2009,Summer 09,Aldebaran,,,0,16,57.32,-161.55,57,1.8,89,2,3,1,0,5,7/28/2009,2009,23,47.32,0.0002014,44877.35849,0,0,504.239983,
700,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,139,2,2,1,0,5,7/28/2009,2009,198,231.44,0.0001772,284112.8668,0,0,2043.977459,sediment
701,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,121,2,2,1,0,5,7/28/2009,2009,165,201.67,0.0001906,217758.1322,0,0,1799.653985,sediment
702,6/5/2009,2009,Summer 09,Aldebaran,,,0,18,57.99,-161.48,55,1.1,95,2,3,1,0,5,7/28/2009,2009,36,59.83,0.0002078,56201.63619,0,0,591.5961704,
703,6/5/2009,2009,Summer 09,Aldebaran,,,0,18,57.99,-161.48,55,1.1,95,2,5,1,0,5,7/28/2009,2009,22,34.99,0.0001944,35037.03704,0,0,368.8109162,3 worms
704,6/5/2009,2009,Summer 09,Aldebaran,,,0,18,57.99,-161.48,55,1.1,98,2,3,1,0,5,7/28/2009,2009,36,63.85,0.0001992,62246.98795,0,0,635.1733464,
705,6/5/2009,2009,Summer 09,Aldebaran,,,0,17,57.66,-161.49,54,1.5,102,1,2,1,0,5,7/29/2009,2009,77,111.87,0.0002042,90539.17728,0,0,887.6389929,"some egg loss, sediment, rotten pleopods"
